,O*NET-SOC Code,Element Name,Data Value
20743,17-3029.04,Finger Dexterity,4.0
20741,17-3029.04,Manual Dexterity,3.12
13957,17-3029.04,Negotiation,2.12
20707,17-3029.04,Originality,3.12
13955,17-3029.04,Persuasion,3.0
13951,17-3029.04,Social Perceptiveness,3.0
16456,17-3029.05,Assisting and Caring for Others,2.74
67450,17-3029.05,"Cramped Work Space, Awkward Positions",1.53
13251,17-3029.05,Fine Arts,0.56
20847,17-3029.05,Finger Dexterity,2.62
20845,17-3029.05,Manual Dexterity,2.25
14027,17-3029.05,Negotiation,2.88
20811,17-3029.05,Originality,3.62
14025,17-3029.05,Persuasion,3.38
14021,17-3029.05,Social Perceptiveness,3.0
16538,17-3029.06,Assisting and Caring for Others,2.35
67788,17-3029.06,"Cramped Work Space, Awkward Positions",1.82
13317,17-3029.06,Fine Arts,0.18
20951,17-3029.06,Finger Dexterity,3.0
20949,17-3029.06,Manual Dexterity,2.62
14097,17-3029.06,Negotiation,2.88
20915,17-3029.06,Originality,4.0
14095,17-3029.06,Persuasion,3.25
14091,17-3029.06,Social Perceptiveness,3.0
16620,17-3029.07,Assisting and Caring for Others,2.15
68126,17-3029.07,"Cramped Work Space, Awkward Positions",2.17
13383,17-3029.07,Fine Arts,0.13
21055,17-3029.07,Finger Dexterity,3.5
21053,17-3029.07,Manual Dexterity,3.25
14167,17-3029.07,Negotiation,2.62
21019,17-3029.07,Originality,3.0
14165,17-3029.07,Persuasion,2.75
14161,17-3029.07,Social Perceptiveness,3.0
16702,17-3029.08,Assisting and Caring for Others,2.08
68464,17-3029.08,"Cramped Work Space, Awkward Positions",2.08
13449,17-3029.08,Fine Arts,0.28
21159,17-3029.08,Finger Dexterity,3.88
21157,17-3029.08,Manual Dexterity,3.25
14237,17-3029.08,Negotiation,2.25
21123,17-3029.08,Originality,2.88
14235,17-3029.08,Persuasion,2.5
14231,17-3029.08,Social Perceptiveness,2.88
16784,17-3029.09,Assisting and Caring for Others,2.43
68802,17-3029.09,"Cramped Work Space, Awkward Positions",2.39
13515,17-3029.09,Fine Arts,0.61
21263,17-3029.09,Finger Dexterity,3.25
21261,17-3029.09,Manual Dexterity,3.0
14307,17-3029.09,Negotiation,2.25
21227,17-3029.09,Originality,2.88
14305,17-3029.09,Persuasion,2.62
14301,17-3029.09,Social Perceptiveness,3.0
16866,17-3029.11,Assisting and Caring for Others,1.77
69140,17-3029.11,"Cramped Work Space, Awkward Positions",1.59
13581,17-3029.11,Fine Arts,0.0
21367,17-3029.11,Finger Dexterity,3.12
21365,17-3029.11,Manual Dexterity,2.62
14377,17-3029.11,Negotiation,2.38
21331,17-3029.11,Originality,3.25
14375,17-3029.11,Persuasion,2.88
14371,17-3029.11,Social Perceptiveness,2.88
16948,17-3029.12,Assisting and Caring for Others,2.21
69478,17-3029.12,"Cramped Work Space, Awkward Positions",2.42
13647,17-3029.12,Fine Arts,0.12
21471,17-3029.12,Finger Dexterity,3.75
21469,17-3029.12,Manual Dexterity,3.25
14447,17-3029.12,Negotiation,2.5
21435,17-3029.12,Originality,3.12
14445,17-3029.12,Persuasion,2.5
14441,17-3029.12,Social Perceptiveness,2.62
17030,17-3031.01,Assisting and Caring for Others,2.22
69816,17-3031.01,"Cramped Work Space, Awkward Positions",2.25
13713,17-3031.01,Fine Arts,0.54
21575,17-3031.01,Finger Dexterity,3.0
21573,17-3031.01,Manual Dexterity,3.0
14517,17-3031.01,Negotiation,2.62
21539,17-3031.01,Originality,3.0
14515,17-3031.01,Persuasion,2.25
14511,17-3031.01,Social Perceptiveness,2.75
17112,17-3031.02,Assisting and Caring for Others,1.63
70154,17-3031.02,"Cramped Work Space, Awkward Positions",1.39
13779,17-3031.02,Fine Arts,0.44
21679,17-3031.02,Finger Dexterity,3.0
21677,17-3031.02,Manual Dexterity,1.88
14587,17-3031.02,Negotiation,1.88
21643,17-3031.02,Originality,3.0
14585,17-3031.02,Persuasion,2.38
14581,17-3031.02,Social Perceptiveness,2.88
17194,19-1011.00,Assisting and Caring for Others,2.26
70492,19-1011.00,"Cramped Work Space, Awkward Positions",2.0
13845,19-1011.00,Fine Arts,0.07
21783,19-1011.00,Finger Dexterity,1.5
21781,19-1011.00,Manual Dexterity,0.12
14657,19-1011.00,Negotiation,2.88
21747,19-1011.00,Originality,3.5
14655,19-1011.00,Persuasion,3.0
14651,19-1011.00,Social Perceptiveness,3.38
17276,19-1012.00,Assisting and Caring for Others,1.88
70830,19-1012.00,"Cramped Work Space, Awkward Positions",1.69
13911,19-1012.00,Fine Arts,0.52
21887,19-1012.00,Finger Dexterity,3.0
21885,19-1012.00,Manual Dexterity,1.75
14727,19-1012.00,Negotiation,3.5
21851,19-1012.00,Originality,3.62
14725,19-1012.00,Persuasion,3.5
14721,19-1012.00,Social Perceptiveness,3.38
17358,19-1013.00,Assisting and Caring for Others,2.19
71168,19-1013.00,"Cramped Work Space, Awkward Positions",1.7
13977,19-1013.00,Fine Arts,0.15
21991,19-1013.00,Finger Dexterity,2.62
21989,19-1013.00,Manual Dexterity,1.88
14797,19-1013.00,Negotiation,2.62
21955,19-1013.00,Originality,4.12
14795,19-1013.00,Persuasion,3.12
14791,19-1013.00,Social Perceptiveness,3.0
17440,19-1020.01,Assisting and Caring for Others,2.25
71506,19-1020.01,"Cramped Work Space, Awkward Positions",1.85
14043,19-1020.01,Fine Arts,0.12
22095,19-1020.01,Finger Dexterity,2.62
22093,19-1020.01,Manual Dexterity,2.0
14867,19-1020.01,Negotiation,2.62
22059,19-1020.01,Originality,3.88
14865,19-1020.01,Persuasion,2.88
14861,19-1020.01,Social Perceptiveness,3.12
17522,19-1021.00,Assisting and Caring for Others,1.91
71844,19-1021.00,"Cramped Work Space, Awkward Positions",1.59
14109,19-1021.00,Fine Arts,0.0
22199,19-1021.00,Finger Dexterity,2.88
22197,19-1021.00,Manual Dexterity,2.38
14937,19-1021.00,Negotiation,2.38
22163,19-1021.00,Originality,4.62
14935,19-1021.00,Persuasion,3.25
14931,19-1021.00,Social Perceptiveness,3.5
17604,19-1022.00,Assisting and Caring for Others,2.26
72182,19-1022.00,"Cramped Work Space, Awkward Positions",1.22
14175,19-1022.00,Fine Arts,0.13
22303,19-1022.00,Finger Dexterity,3.62
22301,19-1022.00,Manual Dexterity,2.88
15007,19-1022.00,Negotiation,2.75
22267,19-1022.00,Originality,4.62
15005,19-1022.00,Persuasion,2.75
15001,19-1022.00,Social Perceptiveness,3.25
17686,19-1023.00,Assisting and Caring for Others,2.32
72520,19-1023.00,"Cramped Work Space, Awkward Positions",1.81
14241,19-1023.00,Fine Arts,0.13
22407,19-1023.00,Finger Dexterity,2.5
22405,19-1023.00,Manual Dexterity,1.88
15077,19-1023.00,Negotiation,3.0
22371,19-1023.00,Originality,3.12
15075,19-1023.00,Persuasion,3.0
15071,19-1023.00,Social Perceptiveness,3.12
17768,19-1029.01,Assisting and Caring for Others,2.16
72858,19-1029.01,"Cramped Work Space, Awkward Positions",1.22
14307,19-1029.01,Fine Arts,1.24
22511,19-1029.01,Finger Dexterity,2.75
22509,19-1029.01,Manual Dexterity,1.38
15147,19-1029.01,Negotiation,3.0
22475,19-1029.01,Originality,4.25
15145,19-1029.01,Persuasion,3.5
15141,19-1029.01,Social Perceptiveness,3.5
17850,19-1029.02,Assisting and Caring for Others,2.04
73196,19-1029.02,"Cramped Work Space, Awkward Positions",1.22
14373,19-1029.02,Fine Arts,0.39
22615,19-1029.02,Finger Dexterity,2.88
22613,19-1029.02,Manual Dexterity,2.25
15217,19-1029.02,Negotiation,2.62
22579,19-1029.02,Originality,4.5
15215,19-1029.02,Persuasion,2.75
15211,19-1029.02,Social Perceptiveness,3.25
17932,19-1029.03,Assisting and Caring for Others,3.13
73534,19-1029.03,"Cramped Work Space, Awkward Positions",1.2
14439,19-1029.03,Fine Arts,0.4
22719,19-1029.03,Finger Dexterity,2.62
22717,19-1029.03,Manual Dexterity,2.0
15287,19-1029.03,Negotiation,3.0
22683,19-1029.03,Originality,4.25
15285,19-1029.03,Persuasion,3.25
15281,19-1029.03,Social Perceptiveness,4.0
18014,19-1031.01,Assisting and Caring for Others,2.33
73872,19-1031.01,"Cramped Work Space, Awkward Positions",1.71
14505,19-1031.01,Fine Arts,0.14
22823,19-1031.01,Finger Dexterity,2.5
22821,19-1031.01,Manual Dexterity,2.0
15357,19-1031.01,Negotiation,3.0
22787,19-1031.01,Originality,3.88
15355,19-1031.01,Persuasion,3.75
15351,19-1031.01,Social Perceptiveness,3.75
18096,19-1031.02,Assisting and Caring for Others,2.31
74210,19-1031.02,"Cramped Work Space, Awkward Positions",1.79
14571,19-1031.02,Fine Arts,0.16
22927,19-1031.02,Finger Dexterity,2.0
22925,19-1031.02,Manual Dexterity,1.88
15427,19-1031.02,Negotiation,3.75
22891,19-1031.02,Originality,3.75
15425,19-1031.02,Persuasion,3.38
15421,19-1031.02,Social Perceptiveness,3.25
18178,19-1031.03,Assisting and Caring for Others,3.05
74548,19-1031.03,"Cramped Work Space, Awkward Positions",1.98
14637,19-1031.03,Fine Arts,2.53
23031,19-1031.03,Finger Dexterity,1.88
23029,19-1031.03,Manual Dexterity,1.88
15497,19-1031.03,Negotiation,2.5
22995,19-1031.03,Originality,3.38
15495,19-1031.03,Persuasion,2.88
15491,19-1031.03,Social Perceptiveness,3.38
18260,19-1032.00,Assisting and Caring for Others,2.61
74886,19-1032.00,"Cramped Work Space, Awkward Positions",1.62
14703,19-1032.00,Fine Arts,0.33
23135,19-1032.00,Finger Dexterity,2.0
23133,19-1032.00,Manual Dexterity,2.12
15567,19-1032.00,Negotiation,3.75
23099,19-1032.00,Originality,4.0
15565,19-1032.00,Persuasion,3.38
15561,19-1032.00,Social Perceptiveness,3.38
18342,19-1041.00,Assisting and Caring for Others,1.83
75224,19-1041.00,"Cramped Work Space, Awkward Positions",1.13
14769,19-1041.00,Fine Arts,0.07
23239,19-1041.00,Finger Dexterity,1.62
23237,19-1041.00,Manual Dexterity,0.12
15637,19-1041.00,Negotiation,3.25
23203,19-1041.00,Originality,3.88
15635,19-1041.00,Persuasion,3.5
15631,19-1041.00,Social Perceptiveness,3.88
18424,19-1042.00,Assisting and Caring for Others,3.03
75562,19-1042.00,"Cramped Work Space, Awkward Positions",1.67
14835,19-1042.00,Fine Arts,0.03
23343,19-1042.00,Finger Dexterity,2.62
23341,19-1042.00,Manual Dexterity,1.62
15707,19-1042.00,Negotiation,2.88
23307,19-1042.00,Originality,3.88
15705,19-1042.00,Persuasion,3.38
15701,19-1042.00,Social Perceptiveness,3.38
18506,19-2011.00,Assisting and Caring for Others,1.61
75900,19-2011.00,"Cramped Work Space, Awkward Positions",1.41
14901,19-2011.00,Fine Arts,0.09
23447,19-2011.00,Finger Dexterity,2.0
23445,19-2011.00,Manual Dexterity,0.0
15777,19-2011.00,Negotiation,2.75
23411,19-2011.00,Originality,4.0
15775,19-2011.00,Persuasion,2.75
15771,19-2011.00,Social Perceptiveness,3.25
18588,19-2012.00,Assisting and Caring for Others,2.13
76238,19-2012.00,"Cramped Work Space, Awkward Positions",1.73
14967,19-2012.00,Fine Arts,0.09
23551,19-2012.00,Finger Dexterity,2.5
23549,19-2012.00,Manual Dexterity,0.38
15847,19-2012.00,Negotiation,2.88
23515,19-2012.00,Originality,5.5
15845,19-2012.00,Persuasion,3.75
15841,19-2012.00,Social Perceptiveness,3.25
18670,19-2021.00,Assisting and Caring for Others,2.0
76576,19-2021.00,"Cramped Work Space, Awkward Positions",1.5
15033,19-2021.00,Fine Arts,0.11
23655,19-2021.00,Finger Dexterity,0.88
23653,19-2021.00,Manual Dexterity,0.0
15917,19-2021.00,Negotiation,2.88
23619,19-2021.00,Originality,3.12
15915,19-2021.00,Persuasion,3.0
15911,19-2021.00,Social Perceptiveness,3.12
18752,19-2031.00,Assisting and Caring for Others,2.39
76914,19-2031.00,"Cramped Work Space, Awkward Positions",1.42
15099,19-2031.00,Fine Arts,0.03
23759,19-2031.00,Finger Dexterity,3.12
23757,19-2031.00,Manual Dexterity,2.5
15987,19-2031.00,Negotiation,2.38
23723,19-2031.00,Originality,3.5
15985,19-2031.00,Persuasion,2.62
15981,19-2031.00,Social Perceptiveness,2.88
18834,19-2032.00,Assisting and Caring for Others,1.96
77252,19-2032.00,"Cramped Work Space, Awkward Positions",1.62
15165,19-2032.00,Fine Arts,0.13
23863,19-2032.00,Finger Dexterity,2.12
23861,19-2032.00,Manual Dexterity,1.88
16057,19-2032.00,Negotiation,2.88
23827,19-2032.00,Originality,4.0
16055,19-2032.00,Persuasion,3.12
16051,19-2032.00,Social Perceptiveness,3.0
18916,19-2041.00,Assisting and Caring for Others,1.94
77590,19-2041.00,"Cramped Work Space, Awkward Positions",1.36
15231,19-2041.00,Fine Arts,0.51
23967,19-2041.00,Finger Dexterity,2.25
23965,19-2041.00,Manual Dexterity,1.38
16127,19-2041.00,Negotiation,2.88
23931,19-2041.00,Originality,3.62
16125,19-2041.00,Persuasion,3.25
16121,19-2041.00,Social Perceptiveness,3.5
18998,19-2041.01,Assisting and Caring for Others,1.89
77928,19-2041.01,"Cramped Work Space, Awkward Positions",1.11
15297,19-2041.01,Fine Arts,0.11
24071,19-2041.01,Finger Dexterity,1.12
24069,19-2041.01,Manual Dexterity,0.0
16197,19-2041.01,Negotiation,3.12
24035,19-2041.01,Originality,3.5
16195,19-2041.01,Persuasion,3.62
16191,19-2041.01,Social Perceptiveness,3.5
19080,19-2041.02,Assisting and Caring for Others,2.0
78266,19-2041.02,"Cramped Work Space, Awkward Positions",1.35
15363,19-2041.02,Fine Arts,0.33
24175,19-2041.02,Finger Dexterity,2.62
24173,19-2041.02,Manual Dexterity,2.0
16267,19-2041.02,Negotiation,2.88
24139,19-2041.02,Originality,3.62
16265,19-2041.02,Persuasion,3.25
16261,19-2041.02,Social Perceptiveness,3.25
19162,19-2041.03,Assisting and Caring for Others,2.0
78604,19-2041.03,"Cramped Work Space, Awkward Positions",1.17
15429,19-2041.03,Fine Arts,0.17
24279,19-2041.03,Finger Dexterity,0.25
24277,19-2041.03,Manual Dexterity,0.0
16337,19-2041.03,Negotiation,2.88
24243,19-2041.03,Originality,4.0
16335,19-2041.03,Persuasion,3.38
16331,19-2041.03,Social Perceptiveness,3.25
19244,19-2042.00,Assisting and Caring for Others,2.05
78942,19-2042.00,"Cramped Work Space, Awkward Positions",1.92
15495,19-2042.00,Fine Arts,1.0
24383,19-2042.00,Finger Dexterity,2.12
24381,19-2042.00,Manual Dexterity,1.38
16407,19-2042.00,Negotiation,2.88
24347,19-2042.00,Originality,3.25
16405,19-2042.00,Persuasion,3.38
16401,19-2042.00,Social Perceptiveness,2.88
19326,19-2043.00,Assisting and Caring for Others,1.91
79280,19-2043.00,"Cramped Work Space, Awkward Positions",1.7
15561,19-2043.00,Fine Arts,0.26
24487,19-2043.00,Finger Dexterity,2.25
24485,19-2043.00,Manual Dexterity,1.62
16477,19-2043.00,Negotiation,3.0
24451,19-2043.00,Originality,4.12
16475,19-2043.00,Persuasion,3.25
16471,19-2043.00,Social Perceptiveness,3.0
19408,19-2099.01,Assisting and Caring for Others,1.86
79618,19-2099.01,"Cramped Work Space, Awkward Positions",1.29
15627,19-2099.01,Fine Arts,0.32
24591,19-2099.01,Finger Dexterity,2.38
24589,19-2099.01,Manual Dexterity,1.88
16547,19-2099.01,Negotiation,2.75
24555,19-2099.01,Originality,3.62
16545,19-2099.01,Persuasion,2.88
16541,19-2099.01,Social Perceptiveness,3.0
19490,19-3011.00,Assisting and Caring for Others,1.62
79956,19-3011.00,"Cramped Work Space, Awkward Positions",1.08
15693,19-3011.00,Fine Arts,0.67
24695,19-3011.00,Finger Dexterity,1.62
24693,19-3011.00,Manual Dexterity,0.12
16617,19-3011.00,Negotiation,2.62
24659,19-3011.00,Originality,3.25
16615,19-3011.00,Persuasion,3.5
16611,19-3011.00,Social Perceptiveness,2.75
19572,19-3011.01,Assisting and Caring for Others,1.5
80294,19-3011.01,"Cramped Work Space, Awkward Positions",1.0
15759,19-3011.01,Fine Arts,0.25
24799,19-3011.01,Finger Dexterity,1.25
24797,19-3011.01,Manual Dexterity,0.0
16687,19-3011.01,Negotiation,3.0
24763,19-3011.01,Originality,3.62
16685,19-3011.01,Persuasion,3.5
16681,19-3011.01,Social Perceptiveness,3.38
19654,19-3022.00,Assisting and Caring for Others,1.81
80632,19-3022.00,"Cramped Work Space, Awkward Positions",1.07
15825,19-3022.00,Fine Arts,0.0
24903,19-3022.00,Finger Dexterity,2.25
24901,19-3022.00,Manual Dexterity,0.88
16757,19-3022.00,Negotiation,2.88
24867,19-3022.00,Originality,3.5
16755,19-3022.00,Persuasion,3.25
16751,19-3022.00,Social Perceptiveness,3.5
19736,19-3031.01,Assisting and Caring for Others,4.09
80970,19-3031.01,"Cramped Work Space, Awkward Positions",1.39
15891,19-3031.01,Fine Arts,0.65
25007,19-3031.01,Finger Dexterity,2.12
25005,19-3031.01,Manual Dexterity,0.0
16827,19-3031.01,Negotiation,3.5
24971,19-3031.01,Originality,3.5
16825,19-3031.01,Persuasion,3.62
16821,19-3031.01,Social Perceptiveness,4.88
19818,19-3031.02,Assisting and Caring for Others,4.94
81308,19-3031.02,"Cramped Work Space, Awkward Positions",1.19
15957,19-3031.02,Fine Arts,0.25
25111,19-3031.02,Finger Dexterity,1.5
25109,19-3031.02,Manual Dexterity,0.0
16897,19-3031.02,Negotiation,3.12
25075,19-3031.02,Originality,3.62
16895,19-3031.02,Persuasion,4.0
16891,19-3031.02,Social Perceptiveness,5.12
19900,19-3031.03,Assisting and Caring for Others,4.65
81646,19-3031.03,"Cramped Work Space, Awkward Positions",1.0
16023,19-3031.03,Fine Arts,0.43
25215,19-3031.03,Finger Dexterity,1.12
25213,19-3031.03,Manual Dexterity,0.0
16967,19-3031.03,Negotiation,3.88
25179,19-3031.03,Originality,4.0
16965,19-3031.03,Persuasion,4.0
16961,19-3031.03,Social Perceptiveness,5.5
19982,19-3032.00,Assisting and Caring for Others,2.59
81984,19-3032.00,"Cramped Work Space, Awkward Positions",1.09
16089,19-3032.00,Fine Arts,0.38
25319,19-3032.00,Finger Dexterity,1.75
25317,19-3032.00,Manual Dexterity,0.0
17037,19-3032.00,Negotiation,3.38
25283,19-3032.00,Originality,4.0
17035,19-3032.00,Persuasion,3.88
17031,19-3032.00,Social Perceptiveness,4.12
20064,19-3039.01,Assisting and Caring for Others,4.54
82322,19-3039.01,"Cramped Work Space, Awkward Positions",1.35
16155,19-3039.01,Fine Arts,0.15
25423,19-3039.01,Finger Dexterity,1.88
25421,19-3039.01,Manual Dexterity,1.75
17107,19-3039.01,Negotiation,3.0
25387,19-3039.01,Originality,3.75
17105,19-3039.01,Persuasion,3.62
17101,19-3039.01,Social Perceptiveness,5.38
20146,19-3041.00,Assisting and Caring for Others,2.27
82660,19-3041.00,"Cramped Work Space, Awkward Positions",1.1
16221,19-3041.00,Fine Arts,0.82
25527,19-3041.00,Finger Dexterity,0.5
25525,19-3041.00,Manual Dexterity,0.0
17177,19-3041.00,Negotiation,3.0
25491,19-3041.00,Originality,3.88
17175,19-3041.00,Persuasion,3.12
17171,19-3041.00,Social Perceptiveness,4.25
20228,19-3051.00,Assisting and Caring for Others,2.26
82998,19-3051.00,"Cramped Work Space, Awkward Positions",1.17
16287,19-3051.00,Fine Arts,2.11
25631,19-3051.00,Finger Dexterity,2.12
25629,19-3051.00,Manual Dexterity,0.0
17247,19-3051.00,Negotiation,3.38
25595,19-3051.00,Originality,4.0
17245,19-3051.00,Persuasion,3.88
17241,19-3051.00,Social Perceptiveness,3.62
20310,19-3091.01,Assisting and Caring for Others,2.37
83336,19-3091.01,"Cramped Work Space, Awkward Positions",1.71
16353,19-3091.01,Fine Arts,1.25
25735,19-3091.01,Finger Dexterity,1.5
25733,19-3091.01,Manual Dexterity,0.12
17317,19-3091.01,Negotiation,2.5
25699,19-3091.01,Originality,3.75
17315,19-3091.01,Persuasion,3.12
17311,19-3091.01,Social Perceptiveness,4.0
20392,19-3091.02,Assisting and Caring for Others,2.09
83674,19-3091.02,"Cramped Work Space, Awkward Positions",2.73
16419,19-3091.02,Fine Arts,2.06
25839,19-3091.02,Finger Dexterity,3.0
25837,19-3091.02,Manual Dexterity,2.75
17387,19-3091.02,Negotiation,2.75
25803,19-3091.02,Originality,4.0
17385,19-3091.02,Persuasion,3.0
17381,19-3091.02,Social Perceptiveness,3.25
20474,19-3092.00,Assisting and Caring for Others,1.87
84012,19-3092.00,"Cramped Work Space, Awkward Positions",1.22
16485,19-3092.00,Fine Arts,0.73
25943,19-3092.00,Finger Dexterity,1.12
25941,19-3092.00,Manual Dexterity,0.0
17457,19-3092.00,Negotiation,2.75
25907,19-3092.00,Originality,3.62
17455,19-3092.00,Persuasion,2.75
17451,19-3092.00,Social Perceptiveness,3.12
20556,19-3093.00,Assisting and Caring for Others,2.14
84350,19-3093.00,"Cramped Work Space, Awkward Positions",1.96
16551,19-3093.00,Fine Arts,3.56
26047,19-3093.00,Finger Dexterity,0.5
26045,19-3093.00,Manual Dexterity,1.0
17527,19-3093.00,Negotiation,2.25
26011,19-3093.00,Originality,3.12
17525,19-3093.00,Persuasion,3.0
17521,19-3093.00,Social Perceptiveness,3.38
20638,19-3094.00,Assisting and Caring for Others,2.07
84688,19-3094.00,"Cramped Work Space, Awkward Positions",1.13
16617,19-3094.00,Fine Arts,0.24
26151,19-3094.00,Finger Dexterity,0.5
26149,19-3094.00,Manual Dexterity,0.0
17597,19-3094.00,Negotiation,2.75
26115,19-3094.00,Originality,3.62
17595,19-3094.00,Persuasion,3.0
17591,19-3094.00,Social Perceptiveness,3.88
20720,19-3099.01,Assisting and Caring for Others,1.96
85026,19-3099.01,"Cramped Work Space, Awkward Positions",1.04
16683,19-3099.01,Fine Arts,0.38
26255,19-3099.01,Finger Dexterity,1.25
26253,19-3099.01,Manual Dexterity,0.0
17667,19-3099.01,Negotiation,3.0
26219,19-3099.01,Originality,3.75
17665,19-3099.01,Persuasion,3.62
17661,19-3099.01,Social Perceptiveness,3.25
20802,19-4011.01,Assisting and Caring for Others,2.69
85364,19-4011.01,"Cramped Work Space, Awkward Positions",2.29
16749,19-4011.01,Fine Arts,0.04
26359,19-4011.01,Finger Dexterity,3.0
26357,19-4011.01,Manual Dexterity,2.88
17737,19-4011.01,Negotiation,2.62
26323,19-4011.01,Originality,3.0
17735,19-4011.01,Persuasion,2.62
17731,19-4011.01,Social Perceptiveness,3.0
20884,19-4011.02,Assisting and Caring for Others,2.94
85702,19-4011.02,"Cramped Work Space, Awkward Positions",2.18
16815,19-4011.02,Fine Arts,0.7
26463,19-4011.02,Finger Dexterity,2.88
26461,19-4011.02,Manual Dexterity,2.38
17807,19-4011.02,Negotiation,2.12
26427,19-4011.02,Originality,2.38
17805,19-4011.02,Persuasion,2.12
17801,19-4011.02,Social Perceptiveness,3.0
20966,19-4021.00,Assisting and Caring for Others,1.81
86040,19-4021.00,"Cramped Work Space, Awkward Positions",1.53
16881,19-4021.00,Fine Arts,0.1
26567,19-4021.00,Finger Dexterity,3.0
26565,19-4021.00,Manual Dexterity,2.75
17877,19-4021.00,Negotiation,1.38
26531,19-4021.00,Originality,3.12
17875,19-4021.00,Persuasion,2.12
17871,19-4021.00,Social Perceptiveness,2.75
21048,19-4031.00,Assisting and Caring for Others,2.97
86378,19-4031.00,"Cramped Work Space, Awkward Positions",1.92
16947,19-4031.00,Fine Arts,0.0
26671,19-4031.00,Finger Dexterity,3.12
26669,19-4031.00,Manual Dexterity,2.88
17947,19-4031.00,Negotiation,2.62
26635,19-4031.00,Originality,3.0
17945,19-4031.00,Persuasion,2.25
17941,19-4031.00,Social Perceptiveness,3.0
21130,19-4041.01,Assisting and Caring for Others,1.95
86716,19-4041.01,"Cramped Work Space, Awkward Positions",1.8
17013,19-4041.01,Fine Arts,0.16
26775,19-4041.01,Finger Dexterity,2.75
26773,19-4041.01,Manual Dexterity,1.25
18017,19-4041.01,Negotiation,1.88
26739,19-4041.01,Originality,2.63
18015,19-4041.01,Persuasion,2.62
18011,19-4041.01,Social Perceptiveness,2.88
21212,19-4041.02,Assisting and Caring for Others,1.9
87054,19-4041.02,"Cramped Work Space, Awkward Positions",2.0
17079,19-4041.02,Fine Arts,0.33
26879,19-4041.02,Finger Dexterity,3.0
26877,19-4041.02,Manual Dexterity,2.88
18087,19-4041.02,Negotiation,2.12
26843,19-4041.02,Originality,3.0
18085,19-4041.02,Persuasion,2.12
18081,19-4041.02,Social Perceptiveness,2.88
21294,19-4051.01,Assisting and Caring for Others,2.16
87392,19-4051.01,"Cramped Work Space, Awkward Positions",3.68
17145,19-4051.01,Fine Arts,0.0
26983,19-4051.01,Finger Dexterity,2.88
26981,19-4051.01,Manual Dexterity,2.5
18157,19-4051.01,Negotiation,2.12
26947,19-4051.01,Originality,2.12
18155,19-4051.01,Persuasion,2.12
18151,19-4051.01,Social Perceptiveness,2.38
21376,19-4051.02,Assisting and Caring for Others,3.03
87730,19-4051.02,"Cramped Work Space, Awkward Positions",2.74
17211,19-4051.02,Fine Arts,0.0
27087,19-4051.02,Finger Dexterity,3.0
27085,19-4051.02,Manual Dexterity,2.38
18227,19-4051.02,Negotiation,2.75
27051,19-4051.02,Originality,3.0
18225,19-4051.02,Persuasion,2.75
18221,19-4051.02,Social Perceptiveness,2.88
21458,19-4061.00,Assisting and Caring for Others,2.57
88068,19-4061.00,"Cramped Work Space, Awkward Positions",1.32
17277,19-4061.00,Fine Arts,0.39
27191,19-4061.00,Finger Dexterity,2.88
27189,19-4061.00,Manual Dexterity,0.5
18297,19-4061.00,Negotiation,2.5
27155,19-4061.00,Originality,3.0
18295,19-4061.00,Persuasion,2.62
18291,19-4061.00,Social Perceptiveness,3.25
21540,19-4061.01,Assisting and Caring for Others,1.55
88406,19-4061.01,"Cramped Work Space, Awkward Positions",1.0
17343,19-4061.01,Fine Arts,0.8
27295,19-4061.01,Finger Dexterity,2.0
27293,19-4061.01,Manual Dexterity,0.0
18367,19-4061.01,Negotiation,3.12
27259,19-4061.01,Originality,3.38
18365,19-4061.01,Persuasion,2.75
18361,19-4061.01,Social Perceptiveness,3.0
21622,19-4091.00,Assisting and Caring for Others,2.09
88744,19-4091.00,"Cramped Work Space, Awkward Positions",2.52
17409,19-4091.00,Fine Arts,0.18
27399,19-4091.00,Finger Dexterity,2.75
27397,19-4091.00,Manual Dexterity,2.62
18437,19-4091.00,Negotiation,3.0
27363,19-4091.00,Originality,3.0
18435,19-4091.00,Persuasion,3.12
18431,19-4091.00,Social Perceptiveness,3.12
21704,19-4092.00,Assisting and Caring for Others,2.34
89082,19-4092.00,"Cramped Work Space, Awkward Positions",2.4
17475,19-4092.00,Fine Arts,0.0
27503,19-4092.00,Finger Dexterity,3.0
27501,19-4092.00,Manual Dexterity,2.75
18507,19-4092.00,Negotiation,2.25
27467,19-4092.00,Originality,3.38
18505,19-4092.00,Persuasion,3.12
18501,19-4092.00,Social Perceptiveness,3.38
21786,19-4093.00,Assisting and Caring for Others,3.05
89420,19-4093.00,"Cramped Work Space, Awkward Positions",2.18
17541,19-4093.00,Fine Arts,0.35
27607,19-4093.00,Finger Dexterity,3.0
27605,19-4093.00,Manual Dexterity,3.0
18577,19-4093.00,Negotiation,2.38
27571,19-4093.00,Originality,2.88
18575,19-4093.00,Persuasion,3.12
18571,19-4093.00,Social Perceptiveness,3.12
21868,19-4099.01,Assisting and Caring for Others,2.29
89758,19-4099.01,"Cramped Work Space, Awkward Positions",1.71
17607,19-4099.01,Fine Arts,0.0
27711,19-4099.01,Finger Dexterity,2.75
27709,19-4099.01,Manual Dexterity,2.75
18647,19-4099.01,Negotiation,2.62
27675,19-4099.01,Originality,3.0
18645,19-4099.01,Persuasion,2.75
